,영화명,대표국적,배급사,감독,배우1,배우2,배우3
106,노 브레인 레이스,미국,롯데쇼핑㈜롯데시네마,제리 주커,로완 앳킨슨,존 클리즈,라네이 채프만
107,빙우,한국,(주)쇼박스,김은숙,김하늘,이성재,송승헌
108,무간도3 - 종극무간,기타,이십세기폭스코리아(주),유위강,양조위,유덕화,여명
109,엘프,미국,이십세기폭스코리아(주),존 파브로,윌 페렐,제임스 칸,밥 뉴하트
110,콜드 마운틴,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,안소니 밍겔라,니콜 키드먼,주드 로,르네 젤위거
111,여고생 시집가기,한국,무비즈엔터테인먼트㈜,오덕환,은지원,임은경,황재석
112,내 남자 친구는 왕자님,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,마사 쿨리지,줄리아 스타일즈,루크 마블리,
113,매트릭스3 레볼루션,미국,워너브러더스 코리아(주),릴리 워쇼스키,키아누 리브스,로렌스 피쉬번,캐리 앤 모스
114,신석기 블루스,한국,(주)쇼박스,김도혁,김현주,이종혁,이민아
115,낭만자객,한국,CJ ENM,윤제균,김민종,최성국,진재영
116,마지막 늑대,한국,(주)쇼박스,구자홍,황정민,양동근,김경란
117,프레디 대 제이슨-13일의 금요일11,미국,(주)영화사한결,우인태,켈리 로랜드,모니카 키나,
118,마스터 앤드 커맨더: 위대한 정복자,미국,이십세기폭스필름코퍼레이션,피터 위어,러셀 크로우,폴 베타니,
119,완벽한 그녀에게 딱 한가지 없는 것,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,게리 위닉,제니퍼 가너,마크 러팔로,
120,돌려차기,한국,(주)시네마서비스,남상국,박지연,현빈,진태현
121,신암행어사,한국,(주)시네마서비스,안태근,구자형,지성,엄상현
122,안녕! 유에프오,한국,(주)튜브엔터테인먼트,김진민,김응수,변희봉,봉태규
123,테이킹 라이브즈,미국,워너브러더스 코리아(주),D.J. 카루소,에단 호크,안젤리나 졸리,키퍼 서덜랜드
124,킬빌,미국,CJ ENM,쿠엔틴 타란티노,우마 서먼,루시 루,
125,폴리와 함께,미국,UIP코리아,존 햄버그,제니퍼 애니스턴,벤 스틸러,필립 세이모어 호프만
126,모나리자 스마일,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,마이크 뉴웰,매기 질렌할,커스틴 던스트,줄리아 스타일즈
127,[통합]영화패키지상영,기타,,,,,
128,망치,한국,스폰지,안태근,김용준,표영재,최석필
129,...ing,한국,(주)튜브엔터테인먼트,이언희,임수정,김래원,이미숙
130,갓센드,미국,(주)시네마서비스,닉 햄,그렉 키니어,레베카 로메인,로버트 드 니로
131,더 캣,미국,CJ ENM,보 웰치,마이크 마이어스,알렉 볼드윈,
132,사토라레,일본,(주)시네마서비스,모토히로 카츠유키,안도 마사노부,스즈키 쿄카,
133,그녀를 모르면 간첩,한국,(주)쇼박스,박한준,공유,김정화,백일섭
134,히달고,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,조 존스톤,줄레이카 로빈슨,비고 모텐슨,오마 샤리프
135,팜므 파탈,프랑스,(주)시네마서비스,브라이언 드 팔마,안토니오 반데라스,,
136,헌티드,미국,(주)튜브엔터테인먼트,윌리엄 프리드킨,베니치오 델 토로,토미 리 존스,
137,허니,미국,UIP코리아,빌 우드러프,릴 로메오,제시카 알바,메키 파이퍼
138,서바이빙 크리스마스,미국,CJ ENM,마이크 미첼,제임스 갠돌피니,벤 애플렉,캐서린 오하라
139,인 더 컷,미국,CJ ENM,제인 캠피온,마크 러팔로,제니퍼 제이슨 리,맥 라이언
140,천년호,한국,(주)시네마서비스,이광훈,정준호,김효진,김혜리
141,레이디킬러,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,조엘 코엔,톰 행크스,일마 P. 홀,
142,더티 댄싱 - 하바나 나이트,미국,아우라엔터테인먼트,가이 퍼랜드,로몰라 가레이,디에고 루나,
143,위대한 유산,한국,CJ ENM,오상훈,김선아,임창정,최무인
144,고티카,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,마티유 카소비츠,할리 베리,로버트 다우니 주니어,페넬로페 크루즈
145,런어웨이,미국,이십세기폭스필름코퍼레이션,게리 플레더,더스틴 호프만,진 해크만,레이첼 와이즈
146,타임라인,미국,(주)튜브엔터테인먼트,리차드 도너,제라드 버틀러,프란시스 오코너,폴 워커
147,영 아담,영국,롯데쇼핑㈜롯데엔터테인먼트,데이빗 맥킨지,이완 맥그리거,피터 뮬란,틸다 스윈튼
148,대단한 유혹,기타,필름뱅크(주),장 프랑소아 풀리오,브누아 브리에르,다비드 부탱,
149,천공의 성 라퓨타,일본,대원미디어(주),미야자키 하야오,안나 파킨,타나카 마유미,제임스 반 데 빅
150,도마 안중근,한국,(주)소스원프로덕션,서세원,유오성,고두심,임명규
151,춤추는 대수사선 2,일본,(주)오시네마,모토히로 카츠유키,오다 유지,후카츠 에리,
152,아이덴티티,미국,콜럼비아트라이스타,제임스 맨골드,존 쿠삭,레이 리오타,
153,스쿠비-두2 : 몬스터 대소동,미국,워너브러더스 코리아(주),라자 고스넬,프린즈 프레디 주니어,사라 미셀 겔러,
154,셧업,프랑스,쇼이스트(주),프랑시스 베베르,제라르 드빠르디유,장 르노,
155,내 생애 최고의 데이트,미국,CJ ENM,로버트 루케틱,조쉬 더하멜,토퍼 그레이스,케이트 보스워스
156,휴먼 스테인,미국,(주)쇼박스,로버트 벤튼,니콜 키드먼,안소니 홉킨스,에드 해리스
157,브라더 베어,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,애론 블레이즈,제레미 슈어레즈,와킨 피닉스,
158,스타스키와 허치,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,토드 필립스,오웬 윌슨,벤 스틸러,
159,열두명의 웬수들,미국,이십세기폭스필름코퍼레이션,숀 레비,스티브 마틴,보니 헌트,힐러리 더프
160,웰컴 투 콜린우드,미국,에이라인,안소니 루소,조지 클루니,샘 록웰,이사야 워싱턴
161,강호,기타,쇼이스트(주),황정보,유덕화,장학우,증지위
162,베이직,미국,코리아픽쳐스(주),존 맥티어난,사무엘 L. 잭슨,코니 닐슨,존 트라볼타
163,러브 미 이프 유 대어,프랑스,(주)엔터모드,얀 사뮤엘,마리온 꼬띨라르,기욤 까네,
164,고독이 몸부림칠 때,한국,(주)쇼박스,이수인,주현,선우용녀,김무생
165,야마카시,프랑스,,아리엘 제이통,쇼 벨 딘,윌리엄스 벨,
166,헌티드 맨션,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,롭 민코프,에디 머피,테렌스 스탬프,
167,노 맨스 랜드,프랑스,㈜영화사 백두대간,다니스 타노비치,브랑코 쥬리치,레네 비또라야쯔,
168,팻 걸,프랑스,㈜영화사 백두대간,까트린느 브레이야,아나이스 르부,록산느 메스퀴다,
169,피구의 제왕,미국,이십세기폭스필름코퍼레이션,로슨 마샬 터버,벤 스틸러,빈스 본,크리스틴 테일러
170,스파이 키드 3D,미국,CJ ENM,로버트 로드리게즈,알레한드로 로즈-가르시아,다릴 사바라,칼라 구기노
171,배틀로얄 2 - 레퀴엠,일본,(주)동아수출공사,후카사쿠 킨지,오시나리 슈고,마에다 아이,
172,연애사진,일본,(주)스폰지이엔티,츠츠미 유키히코,히로스에 료코,마츠다 류헤이,
173,아웃 오브 타임,미국,이십세기폭스필름코퍼레이션,칼 프랭클린,에바 멘데스,덴젤 워싱턴,
174,퍼니셔,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,조나단 헨스라이,토마스 제인,존 트라볼타,
175,황산벌,한국,(주)씨네월드,이준익,박중훈,정진영,오지명
176,카우 삼총사,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,윌 핀,랜디 퀘이드,주디 덴치,제니퍼 틸리
177,내겐 너무 아찔한 그녀,미국,이십세기폭스코리아(주),루크 그린필드,에밀 허쉬,엘리샤 커스버트,
178,날으는 돼지 - 해적 마테오,한국,에이아이씨코리아(AIC KOREA),송근식,강수진,노민우,이장우
179,[통합]단편영화,기타,,,,,
180,러브 인 아프리카,기타,(주)튜브엔터테인먼트,까롤리네 링크,메랍 니니트쩨,율리안느 콜러,레아 쿠르카
181,붙어야 산다,미국,이십세기폭스필름코퍼레이션,바비 패럴리,맷 데이먼,그렉 키니어,
182,스노우 보더,프랑스,쇼이스트(주),올리아스 바르코,니콜라스 뒤보셸,그레고리 콜린,
183,호텔 비너스,일본,CJ ENM,다카하타 히데타,쿠사나기 츠요시,이준기,박정우
184,섹스 이즈 코메디,프랑스,㈜영화사 백두대간,까트린느 브레이야,그레고리 콜린,,
185,머나먼 사랑,미국,UIP코리아,마틴 캠벨,클라이브 오웬,안젤리나 졸리,
186,클레멘타인,한국,(주)엔터모드,김두영,이동준,스티븐 시걸,은서우
187,코로나도,미국,인터비스앤파트너스(주),클라우디오 파,크리스틴 다틸로,클레이턴 로너,
188,마법경찰 갈갈이와 옥동자,한국,콜럼비아트라이스타㈜,이한열,박준형,정종철,안갑용
189,오토기리소우,일본,무비즈엔터테인먼트㈜,시모야마 텐,마츠오 레이코,오키나 메구미,사이토 요이치로
190,프리키 프라이데이,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,마크 S. 워터스,제이미 리 커티스,린제이 로한,해롤드 굴드
191,맥덜,기타,(주)스폰지이엔티,원건도,황추생,임해봉,
192,나에게 유일한,기타,(주)동숭아트센터,가브리엘 무치노,실비오 무치노,줄리아 스테게왈트,
193,6월의 뱀,일본,(주)미디어캐슬,츠카모토 신야,구로사와 아스카,코타리 유지,츠카모토 신야
194,모두 하고 있습니까?,일본,(주)영화사 진진,기타노 다케시,히다리 토키에,하쿠류,
195,호미사이드,미국,콜럼비아트라이스타,론 쉘톤,해리슨 포드,조쉬 하트넷,
196,씨비스킷,미국,월트디즈니코리아㈜,게리 로스,토비 맥과이어,제프 브리지스,
197,쿼바디스 도미네,기타,신한영화(주),예르지 카발레로비치,파웰 데라그,마그데레나 미엘카즈,
198,3-4X10월,일본,(주)스폰지이엔티,기타노 다케시,야나기 유레이,오노 마사히코,이구치 다카히토
199,8 마일,미국,유니버설픽쳐스인터내셔널 코리아(유),커티스 핸슨,에미넴,킴 베이싱어,브리트니 머피
200,싸이퍼,미국,(주)오시네마,빈센조 나탈리,제레미 노담,루시 루,
201,신설국,일본,(주)동아수출공사,코토 코이치,오쿠다 에이지,유민,
202,네드 켈리,기타,UIP코리아,그레고 조단,히스 레저,올랜도 블룸,나오미 왓츠
203,스캔들-조선남녀상열지사,한국,CJ ENM,이재용,배용준,전도연,이미숙
204,미라클 메이커,영국,,데릭 W. 헤이즈,마이클 브라이언트,랄프 파인즈,
205,루니 툰 : 백 인 액션,미국,워너브러더스 코리아(주),조 단테,브렌든 프레이저,제나 엘프만,티모시 달튼
206,워킹 톨,미국,이십세기폭스필름코퍼레이션,케빈 브레이,조니 녹스빌,드웨인 존슨,
207,월드 오브 투모로우,미국,(주)쇼박스,케리 코란,기네스 팰트로우,주드 로,안젤리나 졸리
208,프렌치 아메리칸,미국,이십세기폭스필름코퍼레이션,제임스 아이보리,케이트 허드슨,나오미 왓츠,
209,실종,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,론 하워드,토미 리 존스,에릭 슈웨이그,발 킬머
210,샤크,미국,CJ ENM,비키 젠슨,윌 스미스,로버트 드 니로,
211,씬,미국,이십세기폭스필름코퍼레이션,브라이언 헬겔랜드,마크 애디,히스 레저,샤닌 소사몬
212,소녀 검객 아즈미 대혈전,일본,(주)스폰지이엔티,기타무라 류헤이,우에토 아야,오다기리 조,타케나카 나오토
